Nr.,Anrede,Titel,Vorname,Nachname,Geburtsdatum,Straße,PLZ,Stadt,Telefon,Mobil,Telefax,E-Mail,Newsletter
150,Frau,Dr.,Luise,Schüttler,6.2.1967,Steinfurter Str. 111,27386,Westerwalsede,04266 / 57385742,0173 / 3160113,04266 / 80345122,l.schuettler@mail.xyz,ja
151,Frau,Prof.,Karlotta,Rudolph,5.8.1986,Rottkamp 20,06528,Oberröblingen,03464 / 92034493,0171 / 5165120,03464 / 34351298,karlotta.rudolph@mail.xyz,ja
152,Herr,Dr.,Julien,Walters,10.7.1980,Dingbängerweg 30,93099,Mötzing,09480 / 34931086,0172 / 8487864,09480 / 58483590,j.walters@mail.xyz,ja
153,Frau,Dr.,Anabel,Kopp,21.7.1997,Hansaring 152,54636,Eßlingen,06561 / 53679265,0150 / 9533703,06561 / 21966064,a.kopp@mail.xyz,ja
154,Herr,Dr.,Benedict,Schrader,21.6.1996,Avendruper Str. 101,14532,Stahnsdorf,03329 / 85857487,0156 / 2909097,03329 / 80307777,benedict.schrader@mail.xyz,ja
155,Frau,Dr.,Amelie,Kamp,1.7.1951,Josef-Suwelack-Weg 83,50374,Erftstadt,02235 / 64228932,0169 / 8358037,02235 / 61497429,amelie.kamp@mail.xyz,ja
156,Frau,Prof.,Pauline,Höhne,9.3.1939,Idenbrockplatz 68,31710,Buchholz,05751 / 77009529,0153 / 8569332,05751 / 40172975,pauline.hoehne@mail.xyz,ja
157,Herr,Prof.,Detlev,Schwarzkopf,6.12.1978,Offenbergstr. 60,25335,Elmshorn,04121 / 74639085,0159 / 2883561,04121 / 75351362,d.schwarzkopf@mail.xyz,ja
158,Herr,Prof.,Gerhardt,Ruf,27.7.1982,Möserweg 5,08428,Langenbernsdorf,03761 / 84307083,0176 / 6127821,03761 / 30874370,gerhardt.ruf@mail.xyz,ja
159,Frau,Dr.,Nathalie,Otterbach,10.3.1951,Salzmannstr. 113,04860,Zinna,03421 / 87202787,0150 / 6122878,03421 / 82413247,n.otterbach@mail.xyz,ja
160,Herr,Dr.,Philipp,Guzman,16.6.1924,Mersmannsstiege 53,65205,Wiesbaden,0611 / 58011641,0160 / 8714678,0611 / 98330909,p.guzman@mail.xyz,ja
161,Frau,Prof.,Emilia,Bernhard,5.2.1961,Elsa-Brändström-Weg 34,88633,Heiligenberg,07554 / 30722481,0173 / 3155546,07554 / 99991732,e.bernhard@mail.xyz,ja
162,Herr,Dr.,Danny,Roberson,13.10.1987,Schmittingheide 119,24893,Taarstedt,04622 / 496789,0153 / 2568221,04622 / 52418980,d.roberson@mail.xyz,ja
163,Herr,Dr.,Ingo,Raith,3.7.1952,Gescherweg 183,37627,Lenne am Solling,05532 / 58062920,0156 / 7133751,05532 / 44305689,ingo.raith@mail.xyz,ja
164,Frau,Dr.,Yasmin,Hacker,17.9.1995,Wiedehagen 192,76135,Karlsruhe,0721 / 77711110,0174 / 2486125,0721 / 55601535,yasmin.hacker@mail.xyz,ja
165,Herr,Dr.,Keno,Schulz,19.8.1934,Schützenstr. 59,12357,Rudow,030 / 87257021,0150 / 7044696,030 / 78546061,k.schulz@mail.xyz,ja
166,Herr,Prof.,Bruno,Perkins,25.9.1984,Schmeddingstr. 132,51503,Rösrath,02205 / 54692755,0153 / 8217512,02205 / 75245037,b.perkins@mail.xyz,ja
167,Herr,Dr.,Mohammed,Kath,27.12.1931,Deutz-Kalker Str. 100,67136,Fußgönheim,06237 / 66061449,0153 / 1035662,06237 / 11787743,mohammed.kath@mail.xyz,ja
168,Frau,Dr.,Melanie,Hütter,4.12.1969,Dahlienweg 88,47058,Duisburg,0203 / 31983218,0162 / 5794950,0203 / 53910634,melanie.huetter@mail.xyz,ja
169,Herr,Prof.,Henning,Schönfeld,27.6.1939,Hülsebrockstr. 85,54441,Kastel-Staadt,06581 / 31206053,0153 / 7127541,06581 / 9692976,henning.schoenfeld@mail.xyz,ja
170,Frau,Dr.,Martina,Vargas,26.5.1971,Kanalstr. 14,55494,Wahlbach,06761 / 53550983,0153 / 9033227,06761 / 36294476,m.vargas@mail.xyz,ja
171,Herr,Prof.,Horst,Riedl,20.1.1972,Hensenstr. 30,36163,Poppenhausen,06658 / 45082127,0155 / 2746943,06658 / 46690597,h.riedl@mail.xyz,ja
172,Frau,Dr.,Eileen,Massey,27.9.1947,Kurze Str. 102,25767,Albersdorf,04835 / 83713210,0163 / 4809451,04835 / 29337127,e.massey@mail.xyz,ja
173,Frau,Dr.,Mariella,Carmen,10.8.1932,Rottkamp 87,83122,Samerberg,08032 / 97153938,0150 / 6330592,08032 / 66713481,m.carmen@mail.xyz,ja
174,Frau,Dr.,Joy,Little,25.5.1932,Albachtener Str. 35,29556,Suderburg,05826 / 893541,0169 / 3682819,05826 / 83562754,joy.little@mail.xyz,ja
175,Frau,Dr.,Emilie,Townsend,1.2.1926,Kirchstr. 118,24989,Dollerup,04636 / 8916390,0173 / 3604370,04636 / 1289283,emilie.townsend@mail.xyz,ja
176,Frau,Dr.,Carina,Lederer,11.7.1943,Hahnenstr. 196,84094,Elsendorf,08753 / 35955194,0156 / 4912987,08753 / 48060832,carina.lederer@mail.xyz,ja
177,Herr,Dr.,Lothar,Egner,11.6.1961,Dortmunder Str. 145,46485,Wesel am Rhein,0281 / 4297523,0151 / 9773702,0281 / 65045243,lothar.egner@mail.xyz,ja
178,Herr,Dr.,Bruno,Glück,23.3.1941,Mersmannsstiege 101,23883,Hollenbek,04547 / 16651361,0170 / 3992540,04547 / 81248548,b.glueck@mail.xyz,ja
179,Herr,Dr.,Ben,Euler,5.12.1996,Lassallestr. 3,09518,Großrückerswalde,03735 / 46054400,0156 / 6619492,03735 / 43236898,ben.euler@mail.xyz,ja
180,Frau,Dr.,Anneliese,Berger,14.8.1994,Dingbängerweg 75,78658,Zimmern ob Rottweil,0741 / 53786248,0169 / 8910089,0741 / 65133393,a.berger@mail.xyz,ja
181,Herr,Dr.,Tore,Reiff,6.5.1973,Buldernweg 93,57629,Steinebach an der Wied,02662 / 32744489,0162 / 2193205,02662 / 11675864,tore.reiff@mail.xyz,ja
182,Frau,Dr.,Inge,Jäger,5.5.1957,Am Berler Kamp 48,55452,Guldental,06704 / 83978146,0166 / 4442250,06704 / 59696292,i.jaeger@mail.xyz,ja
183,Herr,Prof.,Matti,Hackl,19.5.1957,Elsa-Brändström-Weg 124,80687,München,089 / 76923005,0167 / 1950019,089 / 38686944,matti.hackl@mail.xyz,ja
184,Herr,Prof.,Hans,Hinze,6.8.1985,Eifelstr. 147,56729,Langscheid,02651 / 16496936,0160 / 8605196,02651 / 35562991,hans.hinze@mail.xyz,ja
185,Frau,Dr.,Leonie,Frenzel,1.2.1943,Angelstr. 113,90556,Seukendorf,0911 / 23881692,0158 / 8673767,0911 / 89173091,l.frenzel@mail.xyz,ja
186,Herr,Dr.,Julius,Kallweit,12.9.1961,Rückertstr. 166,88416,Ochsenhausen,07352 / 32137742,0163 / 6116497,07352 / 33039115,julius.kallweit@mail.xyz,ja
187,Herr,Prof.,Jacob,Renner,7.5.1944,An den Weiden 61,90574,Roßtal,09127 / 37531114,0168 / 4771784,09127 / 75720669,j.renner@mail.xyz,ja
188,Herr,Prof.,Kristian,Pross,3.9.1986,Kerßenbrockstr. 28,27283,Verden,04231 / 33583986,0150 / 6076439,04231 / 26357906,kristian.pross@mail.xyz,ja
189,Frau,Dr.,Natalie,Cannon,23.12.1934,Werseblick 95,56743,Thür,02652 / 61694113,0176 / 9894326,02652 / 1109641,n.cannon@mail.xyz,ja
190,Frau,Dr.,Kristina,Börner,10.9.1939,Unter Kahlenhausen 92,03205,Mlode,03541 / 10107281,0152 / 2974702,03541 / 78196626,k.boerner@mail.xyz,ja
191,Herr,Prof.,Wilfried,Seyfried,27.5.1980,Hirseweg 193,21493,Sahms,04151 / 54684875,0170 / 6406372,04151 / 71024394,w.seyfried@mail.xyz,ja
192,Herr,Prof.,Viktor,Siemon,27.9.1949,Steinkamp 53,56751,Polch,02654 / 33322627,0172 / 7015622,02654 / 82732790,v.siemon@mail.xyz,ja
193,Frau,Dr.,Kira,Paschke,21.12.1956,Am Krausen Baum 173,67657,Kaiserslautern,0631 / 37408476,0175 / 3830817,0631 / 45599118,kira.paschke@mail.xyz,ja
194,Frau,Prof.,Gertrud,Heckmann,28.10.1960,Von-Holte-Str. 51,23883,Seedorf,04547 / 71643129,0157 / 4683991,04547 / 33406649,gertrud.heckmann@mail.xyz,ja
195,Herr,Dr.,Lewin,Petermann,7.10.1988,Wolbecker Str. 27,91462,Dachsbach,09163 / 17629451,0173 / 2579122,09163 / 27068125,l.petermann@mail.xyz,ja
196,Herr,Dr.,Ole,Hopkins,6.1.1964,Florentine-Eichler-Str. 80a,67577,Alsheim,06249 / 71226196,0175 / 6670746,06249 / 70916556,ole.hopkins@mail.xyz,ja
197,Herr,Prof.,Clemens,Morales,7.1.1924,Düesbergweg 177,54673,Karlshausen,06564 / 72822467,0161 / 8992321,06564 / 2242953,c.morales@mail.xyz,ja
198,Frau,Dr.,Nelly,Uhlig,5.7.1990,Gildenstr. 178a,27628,Driftsethe,04746 / 47123527,0167 / 6439476,04746 / 60086233,nelly.uhlig@mail.xyz,ja
199,Frau,Dr.,Janina,Blake,15.4.1986,Werkstattstr. 133,76848,Darstein,06392 / 86415378,0152 / 1725699,06392 / 96626915,janina.blake@mail.xyz,ja
200,Frau,Dr.,Sabine,Grothe,13.9.1971,Königsberger Str. 39,31079,Eberholzen,05065 / 90372977,0153 / 1720391,05065 / 74031426,sabine.grothe@mail.xyz,ja
201,Frau,Dr.,Hannah,Markmann,19.1.1995,Gasselstiege 134,86943,Thaining,08194 / 28149807,0153 / 1755595,08194 / 97726732,hannah.markmann@mail.xyz,ja
202,Herr,Dr.,Johannes,Wessels,27.9.1940,Am Filk 177,27243,Harpstedt,04244 / 48384273,0156 / 9294612,04244 / 2746800,johannes.wessels@mail.xyz,ja
203,Frau,Prof.,Michelle,Ehlert,10.5.1986,Nauheimer Str. 147,24616,Willenscharen,04822 / 40098293,0174 / 5547254,04822 / 85227444,m.ehlert@mail.xyz,ja
204,Frau,Dr.,Mia,Zenker,27.3.1945,Am Blütenhain 53,10623,Berlin,030 / 50336391,0165 / 7335149,030 / 26852501,mia.zenker@mail.xyz,ja
205,Herr,Dr.,Muhammed,Niemann,5.8.1948,Im Stemmen 177,48329,Havixbeck,02507 / 41232675,0168 / 9757529,02507 / 95360333,muhammed.niemann@mail.xyz,ja
206,Frau,Dr.,Larissa,Starke,11.6.1930,Landoisstr. 78,24819,Nienborstel,04871 / 78498695,0170 / 8422113,04871 / 51788163,larissa.starke@mail.xyz,ja
207,Herr,Dr.,Niklas,Brady,27.12.1953,Weseler Str. 66a,79848,Bonndorf,07703 / 52972263,0171 / 5480255,07703 / 95911884,n.brady@mail.xyz,ja
208,Frau,Prof.,Xenia,Dehne,6.9.1955,Hogenbergstr. 26,57648,Bölsberg,02661 / 73306106,0155 / 9067976,02661 / 73455114,x.dehne@mail.xyz,ja
209,Herr,Dr.,Mathias,Hirth,23.11.1949,Am Brook 49a,26427,Dunum,04971 / 90112383,0150 / 2265770,04971 / 30302781,mathias.hirth@mail.xyz,ja
210,Herr,Dr.,Jason,Wachter,12.4.1950,Max-Winkelmann-Str. 69,66955,Pirmasens,06331 / 20914529,0170 / 3952718,06331 / 45763221,jason.wachter@mail.xyz,ja
211,Herr,Dr.,Moritz,Wallner,20.6.1999,Im Sonnentau 170,07924,Volkmannsdorf,03663 / 3397718,0177 / 9416247,03663 / 69231563,moritz.wallner@mail.xyz,ja
212,Frau,Dr.,Melissa,Orth,6.4.1997,Deutz-Kalker Str. 72,56479,Stein-Neukirch,02667 / 7174821,0153 / 3562976,02667 / 26576070,melissa.orth@mail.xyz,ja
213,Herr,Prof.,Linus,Ziller,9.4.1947,Kleiner Griechenmarkt 103,46286,Dorsten,02362 / 2915864,0168 / 9218563,02362 / 9244631,linus.ziller@mail.xyz,ja
214,Herr,Prof.,Jonathan,Sutton,26.8.1963,Neusser Str. 51,53925,Kall,02441 / 17552799,0177 / 8074843,02441 / 32498722,j.sutton@mail.xyz,ja
215,Herr,Prof.,Justus,Gonzalez,3.4.1983,Am Pulverschuppen 27,89605,Altheim,07391 / 17245247,0162 / 4508405,07391 / 41408755,j.gonzalez@mail.xyz,ja
216,Frau,Prof.,Annette,Kaplan,1.9.1963,Am Filk 30,54619,Herzfeld,06550 / 98701407,0172 / 9068022,06550 / 93444783,annette.kaplan@mail.xyz,ja
217,Herr,Prof.,Leander,Wehmeyer,18.2.1945,Emdener Str. 114,97337,Dettelbach,09324 / 47852169,0156 / 3296311,09324 / 32596701,leander.wehmeyer@mail.xyz,ja
218,Frau,Dr.,Chantall,Hein,26.12.1963,Christinastr. 174,02625,Salzenforst,03591 / 24228135,0163 / 4515822,03591 / 75991214,c.hein@mail.xyz,ja
219,Frau,Dr.,Fiona,Garrett,7.4.1925,Düesbergweg 25,95359,Kasendorf,09228 / 67066179,0155 / 7328965,09228 / 56857227,f.garrett@mail.xyz,ja
220,Frau,Dr.,Angela,Einecke,18.12.1925,Wollinstr. 87,56077,Koblenz am Rhein,0261 / 13890767,0178 / 5022956,0261 / 34545777,a.einecke@mail.xyz,ja
221,Herr,Prof.,Mert,Ziegler,17.6.1927,Heinrichstr. 24a,34537,Bad Wildungen,05621 / 88064162,0169 / 4290400,05621 / 64022324,m.ziegler@mail.xyz,ja
222,Herr,Dr.,Leo,Nell,6.8.1985,Am Römerhof 159,85116,Egweil,08424 / 23802591,0157 / 4856783,08424 / 21405564,l.nell@mail.xyz,ja
223,Herr,Prof.,Robert,Ewald,1.6.1990,Westenkamp 167,77960,Seelbach,07823 / 38210433,0156 / 1539638,07823 / 98990484,r.ewald@mail.xyz,ja
224,Herr,Prof.,Thore,Siegle,8.11.1955,Weseler Str. 101,79639,Grenzach-Wyhlen,07624 / 59400845,0171 / 5010430,07624 / 87957074,t.siegle@mail.xyz,ja
225,Frau,Prof.,Margot,Gibbs,20.11.1988,Paul-Engelhard-Weg 37,71397,Leutenbach,07195 / 36619620,0159 / 4949214,07195 / 72087443,margot.gibbs@mail.xyz,ja
226,Frau,Dr.,Elisabeth,Wacker,1.4.1971,Breul 198,25842,Ockholm,04674 / 40440938,0167 / 8877081,04674 / 66771785,e.wacker@mail.xyz,ja
227,Herr,Dr.,Bruno,Haase,1.5.1946,Schützenstr. 112,55469,Oppertshausen,06761 / 28259998,0150 / 4608645,06761 / 49032393,bruno.haase@mail.xyz,ja
228,Herr,Dr.,Niklas,Höfer,27.7.1940,Heisstr. 70,79199,Kirchzarten,07661 / 23183872,0167 / 8028800,07661 / 37159894,n.hoefer@mail.xyz,ja
229,Herr,Dr.,René,Manning,2.10.1953,Hahnenstr. 96,29568,Wieren,05825 / 91966743,0178 / 3351335,05825 / 75941980,r.manning@mail.xyz,ja
230,Frau,Dr.,Fabienne,Geissler,26.12.1922,Josef-Suwelack-Weg 72,90439,Nürnberg,0911 / 56204168,0151 / 9740698,0911 / 61262905,fabienne.geissler@mail.xyz,ja
231,Frau,Dr.,Yasmin,Oliver,28.6.1973,Sophienstr. 46,58454,Witten,02302 / 43784029,0167 / 8320367,02302 / 38255064,y.oliver@mail.xyz,ja
232,Herr,Dr.,Mats,Fördern,25.4.1942,Hensenstr. 25,25881,Westerhever,04862 / 35960290,0150 / 5329095,04862 / 26384336,mats.foerdern@mail.xyz,ja
233,Herr,Dr.,Emre,Schwarzbach,3.12.1966,Am Krausen Baum 78,79359,Riegel am Kaiserstuhl,07642 / 98946740,0163 / 3807539,07642 / 67604821,emre.schwarzbach@mail.xyz,ja
234,Herr,Prof.,Matthis,Zenker,24.2.1923,Telemannstr. 118,24326,Dersau,04522 / 16321350,0162 / 9324842,04522 / 56112264,m.zenker@mail.xyz,ja
235,Herr,Dr.,Wilhelm,Cremer,6.1.1966,Am Grauen Stein 5,88167,Röthenbach,08384 / 196799,0173 / 7623403,08384 / 56960583,wilhelm.cremer@mail.xyz,ja
236,Frau,Dr.,Tanja,Boos,2.2.1957,Mariendorfer Str. 72,55232,Alzey,06731 / 39290576,0172 / 2689025,06731 / 7925871,t.boos@mail.xyz,ja
237,Herr,Dr.,Janik,Janz,11.4.1992,Arnheimweg 15,88147,Achberg,08380 / 74538451,0173 / 1449236,08380 / 2759271,janik.janz@mail.xyz,ja
238,Herr,Dr.,Rainer,Wedekind,13.4.1925,Möserweg 122,21445,Wulfsen,04173 / 3539414,0162 / 5413962,04173 / 96602674,r.wedekind@mail.xyz,ja
239,Herr,Dr.,Victor,Atkins,27.11.1951,Schmeddingstr. 155,55585,Duchroth,06708 / 42987106,0173 / 5711744,06708 / 24439329,victor.atkins@mail.xyz,ja
240,Frau,Dr.,Mara,Tekin,2.12.1927,Sanddornweg 108,25881,Tümlauer Koog,04862 / 61849926,0157 / 2458769,04862 / 32416354,mara.tekin@mail.xyz,ja
241,Herr,Dr.,Kai,Koller,22.10.1952,Avendruper Str. 189,79348,Freiamt,07645 / 4522435,0160 / 1244063,07645 / 10177321,k.koller@mail.xyz,ja
242,Frau,Dr.,Romy,Zander,18.3.1983,Dorbaumstr. 192,74743,Seckach,06292 / 60123913,0154 / 9971797,06292 / 37090885,romy.zander@mail.xyz,ja
243,Frau,Dr.,Laura,Winkelmann,1.10.1981,Janningsweg 142,23845,Grabau,04531 / 29560599,0165 / 7824549,04531 / 90910094,l.winkelmann@mail.xyz,ja
244,Frau,Prof.,Kristine,Karcher,8.7.1954,Arnheimweg 137,25557,Beldorf,04872 / 93382103,0155 / 6874112,04872 / 71831048,kristine.karcher@mail.xyz,ja
245,Frau,Dr.,Melina,Zoeller,16.1.1936,Kröver Str. 55,93345,Hausen,09448 / 94158826,0166 / 5633843,09448 / 13452264,m.zoeller@mail.xyz,ja
246,Herr,Dr.,Mirco,Hahn,9.10.1997,Breslauer Str. 170a,78601,Mahlstetten,07429 / 76924165,0153 / 5968306,07429 / 82175732,mirco.hahn@mail.xyz,ja
247,Herr,Dr.,Gerhardt,Grosse,14.2.1996,Meesenstiege 152,04103,Leipzig,0341 / 46155813,0177 / 4005663,0341 / 3549990,gerhardt.grosse@mail.xyz,ja
248,Frau,Prof.,Heike,Kaminski,17.6.1980,Breslauer Str. 18,58089,Hagen,02331 / 73978135,0154 / 1228682,02331 / 57026787,h.kaminski@mail.xyz,ja
249,Herr,Dr.,Karl,Sachse,1.10.1965,Ossenkampstiege 85,33613,Bielefeld,0521 / 98137586,0159 / 1809389,0521 / 66436280,k.sachse@mail.xyz,ja
250,Frau,Dr.,Judith,Brockmann,6.6.1934,Äußere Kanalstr. 5,79771,Klettgau,07742 / 53385496,0167 / 6591959,07742 / 46328655,j.brockmann@mail.xyz,ja
251,Frau,Dr.,Malin,Waten,11.2.1998,Skagerrakstr. 28,53506,Heckenbach,02643 / 58325131,0176 / 3972924,02643 / 85772616,m.waten@mail.xyz,ja
252,Frau,Dr.,Clara,Brendel,6.5.1994,Am Burloh 116,54675,Roth an der Our,06564 / 18522857,0155 / 4258299,06564 / 89328801,c.brendel@mail.xyz,ja
253,Herr,Prof.,Axel,Sperling,2.10.1971,Hoove 166a,54492,Lösnich,06531 / 44802638,0167 / 5096735,06531 / 69545801,a.sperling@mail.xyz,ja
254,Frau,Dr.,Judith,Payne,13.8.1922,Hillscheider Weg 117,17440,Buddenhagen,03836 / 38122714,0161 / 2039887,03836 / 75971733,j.payne@mail.xyz,ja
255,Frau,Dr.,Isabella,Sommerfeld,5.10.1987,Rottkamp 84,90461,Nürnberg,0911 / 93201578,0158 / 2417881,0911 / 50169351,i.sommerfeld@mail.xyz,ja
256,Herr,Prof.,Karl,Dressler,8.7.1985,Heroldstr. 105,14467,Potsdam,0331 / 23638331,0166 / 4136800,0331 / 85643858,karl.dressler@mail.xyz,ja
257,Herr,Dr.,Jonah,Wolters,26.2.1922,Kröver Str. 57,23966,Wismar,03841 / 61818029,0176 / 8834702,03841 / 83206718,jonah.wolters@mail.xyz,ja
258,Herr,Prof.,Janik,Mathis,3.7.1993,Kirchstr. 132,94118,Jandelsbrunn,08583 / 48463132,0152 / 7361638,08583 / 59644777,j.mathis@mail.xyz,ja
259,Frau,Prof.,Kira,Brendel,1.2.1969,Bernhard-Poether-Str. 140,93356,Teugn,09405 / 27943896,0151 / 9721346,09405 / 650904,k.brendel@mail.xyz,ja
260,Frau,Dr.,Janine,Petry,9.8.1993,Gasselstiege 133,25712,Hochdonn,04825 / 40402377,0155 / 5084406,04825 / 2419865,janine.petry@mail.xyz,ja
261,Herr,Dr.,Manuel,Wiener,7.6.1932,Ostmarkstr. 159a,14478,Potsdam,0331 / 26938236,0162 / 5377526,0331 / 14363789,manuel.wiener@mail.xyz,ja
262,Herr,Dr.,Norbert,Hartl,14.6.1963,Piusallee 33,37194,Bodenfelde,05572 / 78979731,0171 / 8437862,05572 / 82662025,norbert.hartl@mail.xyz,ja
263,Frau,Dr.,Helga,Wiedmann,24.1.1946,Mecklenbecker Str. 193,91362,Pretzfeld,09194 / 20901017,0150 / 5645818,09194 / 86306656,helga.wiedmann@mail.xyz,ja
264,Herr,Dr.,Jakob,Herman,11.4.1969,Gescherweg 182,95028,Hof an der Saale,09281 / 96052672,0169 / 1143567,09281 / 69658978,j.herman@mail.xyz,ja
265,Frau,Dr.,Ann,Fiedler,24.7.1940,Ringelnatzstr. 84,53520,Rodder,02691 / 78434000,0178 / 4056981,02691 / 65014814,ann.fiedler@mail.xyz,ja
266,Herr,Prof.,Linus,Feller,9.9.1953,Schmittingheide 189,85309,Pörnbach,08446 / 5313191,0173 / 4830543,08446 / 64407393,l.feller@mail.xyz,ja
267,Frau,Dr.,Janina,Schwindt,17.7.1996,Raesfeldstr. 104,47443,Moers,02841 / 62064010,0165 / 6499842,02841 / 54056985,j.schwindt@mail.xyz,ja
268,Herr,Dr.,Rudolph,Thaler,24.2.1987,Am Nubbenberg 104,99428,Ottstedt am Berge,03643 / 73418803,0174 / 4739467,03643 / 35345255,r.thaler@mail.xyz,ja
269,Herr,Dr.,Anton,Kropf,16.3.1978,Osthuesheide 138,67593,Bermersheim,06244 / 51184904,0156 / 7683955,06244 / 24684593,a.kropf@mail.xyz,ja
270,Frau,Dr.,Inge,Eck,9.11.1927,Westenkamp 197,66126,Saarbrücken,0681 / 38765945,0165 / 8349164,0681 / 53183823,inge.eck@mail.xyz,ja
271,Frau,Dr.,Mariella,Siegle,24.11.1952,Mersmannsstiege 57,24869,Dörpstedt,04627 / 65668965,0154 / 8799203,04627 / 84773692,mariella.siegle@mail.xyz,ja
272,Herr,Prof.,Riccardo,Heuer,26.5.1943,Gottesweg 31,55765,Ellenberg,06782 / 53978333,0151 / 9957481,06782 / 13810539,riccardo.heuer@mail.xyz,ja
273,Herr,Dr.,Willi,Krieger,23.4.1966,Friedrich-Ebert-Str. 153,10781,Berlin,030 / 59004687,0160 / 7765922,030 / 56264734,willi.krieger@mail.xyz,ja
274,Frau,Dr.,Maike,Floyd,25.5.1941,Janningsweg 39,54595,Weinsheim,06551 / 11072331,0155 / 8627321,06551 / 42252910,maike.floyd@mail.xyz,ja
275,Frau,Dr.,Christine,Wendt,13.5.1941,Ringelnatzstr. 76,28197,Bremen,0421 / 7245955,0176 / 2545843,0421 / 19658627,christine.wendt@mail.xyz,ja
276,Frau,Dr.,Annica,Oberländer,10.3.1926,Emdener Str. 105,56459,Elbingen,06435 / 62709051,0171 / 7250913,06435 / 76680932,annica.oberlaender@mail.xyz,ja
277,Herr,Dr.,Mohammed,Lotz,13.2.1969,Kleiner Griechenmarkt 138,24361,Holzbunge,04356 / 23904920,0175 / 6451556,04356 / 70711694,m.lotz@mail.xyz,ja
278,Frau,Dr.,Ella,Keiser,26.6.1938,Hermann-Treff-Weg 79,44287,Dortmund,0231 / 32421798,0166 / 2046332,0231 / 55354501,e.keiser@mail.xyz,ja
279,Herr,Prof.,Louis,Stiller,3.7.1972,Im Stemmen 60,56244,Freilingen,02666 / 98867548,0154 / 4826174,02666 / 80383697,louis.stiller@mail.xyz,ja
280,Herr,Dr.,Friedrich,Mutz,7.4.1978,Hillscheider Weg 168,98693,Unterpörlitz,03677 / 33647948,0170 / 3875090,03677 / 50331320,f.mutz@mail.xyz,ja
281,Frau,Prof.,Juli,Todd,10.10.1967,Stolbergstr. 179,98673,Eisfeld,03686 / 21132017,0179 / 4145319,03686 / 43217341,j.todd@mail.xyz,ja
282,Frau,Dr.,Anastasia,Kemper,9.9.1980,Eulenbergstr. 35,07389,Gertewitz,03647 / 11283031,0159 / 8097381,03647 / 58205826,anastasia.kemper@mail.xyz,ja
283,Frau,Dr.,Johanna,Kania,24.11.1969,Wildpfad 189,06308,Siersleben,03475 / 60480004,0173 / 2050392,03475 / 74998398,johanna.kania@mail.xyz,ja
284,Frau,Dr.,Klaudia,Guth,20.9.1957,Gasselstiege 84,49843,Halle,05942 / 88221721,0174 / 9824732,05942 / 77332631,klaudia.guth@mail.xyz,ja
285,Frau,Prof.,Jasmin,Ortega,8.9.1930,Düesbergweg 59,06556,Kalbsrieth,03466 / 79761785,0154 / 3082241,03466 / 39176199,j.ortega@mail.xyz,ja
286,Frau,Dr.,Annabell,Kim,10.1.1995,Am Grauen Stein 20,35091,Cölbe,06421 / 3531460,0156 / 3679304,06421 / 45624861,annabell.kim@mail.xyz,ja
287,Herr,Dr.,Ullrich,Schultz,20.11.1945,Eulenbergstr. 130,69493,Hirschberg an der Bergstraße,06201 / 28393990,0164 / 2314832,06201 / 3730860,u.schultz@mail.xyz,ja
288,Herr,Dr.,Günter,Herter,14.3.1997,Schmeddingstr. 181,67729,Sippersfeld,06357 / 17611009,0155 / 3127739,06357 / 78014921,guenter.herter@mail.xyz,ja
289,Herr,Dr.,Julien,Fahl,15.6.1985,Jägerstr. A 77,38729,Lutter am Barenberge,05383 / 49141172,0169 / 4206448,05383 / 86864937,j.fahl@mail.xyz,ja
290,Herr,Dr.,Meik,Görtz,15.3.1927,Telemannstr. 105,78253,Eigeltingen,07774 / 4630009,0168 / 6526292,07774 / 30861399,m.goertz@mail.xyz,ja
291,Frau,Prof.,Rosa,Siekmann,9.11.1933,Stolbergstr. 7,37697,Lauenförde,05271 / 39519906,0167 / 2599291,05271 / 96132444,r.siekmann@mail.xyz,ja
292,Herr,Dr.,Marten,Kahle,17.6.1934,Breslauer Str. 182,63811,Stockstadt am Main,06027 / 9717786,0164 / 3067136,06027 / 24081149,marten.kahle@mail.xyz,ja
293,Frau,Dr.,Krista,Butz,21.9.1996,Angelmodder Weg 107,54689,Daleiden,06550 / 36403285,0170 / 2435063,06550 / 18819300,k.butz@mail.xyz,ja
294,Herr,Dr.,Julien,Nagler,1.6.1941,Vorgebirgstr. 22,99894,Ernstroda,03623 / 69507156,0170 / 5428957,03623 / 20797535,j.nagler@mail.xyz,ja
295,Herr,Dr.,Helmut,Lammers,3.8.1931,Flaßkuhl 77,94439,Roßbach,08547 / 68939273,0157 / 6552256,08547 / 53153254,helmut.lammers@mail.xyz,ja
296,Herr,Dr.,Harald,Hernandez,16.4.1933,Cheruskerstr. 130,54552,Neichen,02692 / 73270072,0169 / 7096405,02692 / 9184812,h.hernandez@mail.xyz,ja
297,Frau,Dr.,Judith,Mielke,5.11.1973,Sophienstr. 188,86450,Altenmünster,08295 / 29473018,0163 / 4592032,08295 / 48884245,judith.mielke@mail.xyz,ja
298,Frau,Dr.,Sara,Rupprecht,20.12.1936,Dreizehnerstr. 104,54655,Etteldorf,06563 / 30619721,0160 / 7469043,06563 / 75844002,s.rupprecht@mail.xyz,ja
299,Frau,Prof.,Leonie,Rahm,18.11.1995,Nerzweg 101,54675,Geichlingen,06564 / 41464004,0179 / 2137747,06564 / 5750343,l.rahm@mail.xyz,ja
